word,offset
i,
the,9.0
you,9.0
to,
and,-9.0
a,
me,9.0
it,7.0
not,9.0
in,4.0
my,
is,
of,3.0
your,-1.0
that,-6.0
do,9.0
on,5.0
are,
we,5.0
am,-6.0
will,-7.0
all,1.0
for,-4.0
no,9.0
be,
have,3.0
love,8.0
so,9.0
know,7.0
this,-5.0
but,9.0
with,
what,7.0
just,3.0
when,7.0
like,-7.0
now,
que,
time,9.0
can,9.0
come,
de,4.0
there,9.0
go,6.0
up,
oh,9.0
la,9.0
one,9.0
they,8.0
out,9.0
down,9.0
get,9.0
she,
was,9.0
see,4.0
if,1.0
got,7.0
never,9.0
from,
he,9.0
feel,6.0
want,8.0
let,8.0
make,9.0
way,7.0
say,9.0
take,9.0
would,4.0
as,6.0
ca,9.0
day,7.0
at,5.0
babi,0.0
away,8.0
life,-8.0
yeah,4.0
y,9.0
back,2.0
by,-2.0
her,
heart,
here,4.0
how,9.0
could,3.0
night,9.0
need,9.0
our,5.0
look,9.0
where,
en,8.0
eye,8.0
thing,7.0
world,
more,7.0
caus,9.0
gonna,9.0
die,6.0
right,9.0
been,-7.0
tell,9.0
think,-9.0
un,-3.0
who,
el,5.0
through,4.0
man,9.0
live,9.0
again,7.0
give,
too,5.0
onli,8.0
te,9.0
tri,8.0
tu,
or,4.0
whi,3.0
se,8.0
keep,0.0
dream,9.0
well,9.0
mind,-4.0
an,-1.0
wo,2.0
still,7.0
us,1.0
his,9.0
long,7.0
mi,8.0
girl,9.0
wanna,
find,7.0
fall,-5.0
around,
good,5.0
about,-9.0
some,9.0
over,-2.0
littl,-9.0
turn,-1.0
hand,8.0
then,
noth,8.0
light,-2.0
said,1.0
call,9.0
everi,
alway,-7.0
were,5.0
did,-7.0
into,-7.0
e,-4.0
wait,4.0
leav,4.0
home,0.0
had,2.0
hold,7.0
run,9.0
es,9.0
walk,-2.0
ever,9.0
them,-9.0
lie,9.0
face,6.0
end,0.0
hear,6.0
gone,-1.0
head,-5.0
believ,6.0
everyth,
ya,-6.0
has,8.0
cri,5.0
alon,7.0
yo,
hey,4.0
their,8.0
le,
someth,-5.0
si,9.0
insid,6.0
du,
befor,4.0
o,-2.0
word,
stay,5.0
place,2.0
much,5.0
chang,
ich,-4.0
god,0.0
stand,9.0
these,5.0
better,9.0
last,4.0
friend,-7.0
soul,
anoth,-4.0
je,-8.0
left,6.0
new,5.0
him,9.0
than,1.0
stop,7.0
tonight,9.0
burn,8.0
sun,9.0
off,-5.0
por,5.0
lo,8.0
play,
thought,8.0
sing,9.0
show,-2.0
lost,9.0
peopl,9.0
made,-1.0
break,8.0
und,
start,9.0
should,4.0
realli,8.0
chorus,
hard,9.0
sky,
old,9.0
da,5.0
even,-7.0
boy,4.0
pleas,7.0
song,9.0
care,5.0
without,6.0
hope,
watch,5.0
pain,
amor,
move,2.0
wrong,1.0
put,
free,2.0
gotta,
name,7.0
et,7.0
same,7.0
blue,9.0
con,9.0
danc,7.0
talk,7.0
seem,7.0
own,-7.0
mine,7.0
dark,1.0
na,-4.0
far,-1.0
